count,index,impulsemeasures,parameters,calculated,measures,key
26,183,"[u'5.2661', u'1155', u'-11.561', u'0.40611', u'4077.8']","[u'0.089955', u'0.9', u'-0.0095833', u'8073', u'14.431']","[u'5.7628', u'340', u'-14.793', u'0.46248', u'8250.3']","[u'0.53279', u'4003.1', u'-14.803', u'0.4651', u'7822']",4511934011408384
26,191,"[u'0.07119', u'1760', u'-5.6164', u'0.028267', u'6485.9']","[u'0.026916', u'0.01', u'0.0091667', u'15203', u'227.6']","[u'0.057417', u'790', u'-1.91', u'0.019939', u'9873.1']","[u'5.7945', u'788.52', u'-1.8792', u'0.030217', u'9200']",4520137398943744
26,157,"[u'3.7345', u'935', u'-11.177', u'0.29174', u'5299.1']","[u'0.051995', u'0.93', u'-0.0095833', u'22050', u'0.95312']","[u'3.095', u'880', u'5.1368', u'0.37703', u'10307']","[u'4.5354', u'9718.3', u'5.1181', u'0.37987', u'10362']",4528598484516864
26,179,"[u'1.5207', u'1885', u'0.092191', u'0.29884', u'20.854']","[u'0.019977', u'0.96', u'0.01075', u'58', u'84.964']","[u'2.0213', u'1190', u'-13.817', u'0.2526', u'244.07']","[u'6.3873', u'1564.8', u'-13.813', u'0.26474', u'239.35']",4532635753775104
26,185,"[u'3.3639', u'12610', u'-74.376', u'0.34088', u'1714.1']","[u'0.011859', u'0.98', u'0.0041667', u'788', u'1.0922']","[u'1.386', u'2420', u'9.5132', u'0.2978', u'1988.6']","[u'7.5122', u'4285.5', u'9.5537', u'0.30684', u'1945.7']",4545159878410240
26,204,"[u'1.9377', u'8575', u'-7.2353', u'0.22111', u'687.28']","[u'0.022971', u'0.94', u'0.0086667', u'1014', u'44.823']","[u'2.329', u'1070', u'-18.793', u'0.1942', u'2395.1']","[u'2.1393', u'1301.9', u'-18.79', u'0.20514', u'2339.5']",4561747042107392
26,196,"[u'0.038469', u'2475', u'-71.587', u'0.0080009', u'7813.8']","[u'0.0099546', u'0.01', u'-0.0035', u'1164', u'1068.2']","[u'0.022625', u'4080', u'-5.545', u'0.0074457', u'2646.4']","[u'1.1386', u'2607.4', u'-6.0314', u'0.011595', u'2583.7']",4565191605878784
26,184,"[u'1.4944', u'3145', u'-11.465', u'0.11358', u'4668.7']","[u'0.020839', u'0.91', u'-0.0088333', u'22050', u'7.3046']","[u'1.403', u'2620', u'-11.36', u'0.11876', u'10307']","[u'2.645', u'9776.9', u'-11.354', u'0.12106', u'10261']",4577767270121472
26,192,"[u'3.687', u'3185', u'-1.3111', u'0.5159', u'273.19']","[u'0.075896', u'0.92', u'-0.0095833', u'362', u'46.626']","[u'4.8732', u'390', u'-13.301', u'0.48612', u'1093.8']","[u'3.3385', u'2941.4', u'-13.297', u'0.48731', u'1073.9']",4586795291377664
27,203,"[u'3.242', u'3940', u'-10.434', u'0.24495', u'3671.8']","[u'0.017846', u'0.97', u'-0.00875', u'22050', u'0.3674']","[u'1.988', u'3120', u'9.4723', u'0.29869', u'10307']","[u'2.3169', u'8436', u'9.4762', u'0.30176', u'9626.4']",4594045196173312
27,180,"[u'4.5473', u'1220', u'-9.4668', u'0.36159', u'4434.4']","[u'0.079977', u'0.9', u'-0.00925', u'8784', u'0.81511']","[u'3.0022', u'280', u'9.8996', u'0.41245', u'8512.6']","[u'1.1392', u'3859.9', u'9.9004', u'0.41347', u'8052.8']",4605684557545472
27,201,"[u'0.34621', u'7850', u'-42.972', u'0.033613', u'5370.6']","[u'0.0099546', u'0.79', u'-0.0023333', u'9711', u'29.554']","[u'0.31179', u'3800', u'-17.524', u'0.024985', u'8809.9']","[u'6.5946', u'6464.1', u'-17.595', u'0.030033', u'8311.8']",4610374661832704
