likert,effectTime,didnotagree,rawwords,agreed,when,userid,effect,param,quiet,surveyID,sessionid,key,useragent,ind,cleanTime,irb,words,audioFile,listen
0,7.004,"warm,distorted,irritating,crackling","quiet,unoticeable,vague,unheard",none of the above,2016-04-08T21:50:42,apM7yuo2Rfgdy3ZUHqJ1,compression,"-31.0647,36.0483,15.4465,0.0259,0.0010",yes,LZaCWLO2yWm29I7vfuu8,l0Tk0CMy1X0Ya2FIPKzs,4509086716526592,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36",70,70.011,true,"quiet,unnoticeable,vague,unheard",/static/audio/vocals2.wav,standalone
2,21.804,"warm,brilliant,strength,none of the above","the,drumming,become,a,bit,louder,and,the,sound,was,more,expansive,as,if,it,were,being,recorded,in,larger,room","expansive,clear,bright,amplified",2016-04-09T00:24:14,oASrFBqNuC19Fj3lpxj5,compression,"-39.1497,33.3345,18.5972,0.0460,0.4775",yes,T400MuLgMsONnivBBgeW,8bMRzTpiEQJSPDPrNOrg,4509820350627840,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.110 Safari/537.36",178,51.58,true,"the,drumming,become,a,bit,louder,and,the,sound,was,more,expansive,as,if,it,were,being,recorded,in,larger,room",/static/audio/drums4.wav,headphones
2,2.016,"dulled,compressed,none of the above",gentle,flattened,2016-03-12T04:39:40,sqJljjx2DRi8F89GPDeL,compression,"-92.7037,38.1670,2.0631,0.0165,0.9839",yes,K7Gcmq2MJfZ498zjofxh,2Clawp1CVL2i6kzlUVM1,4512162986852352,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/28.0.1500.71 Safari/537.36",2,62.324,true,gentle,/static/audio/guitar4.wav,headphones
2,39.114,,"electric,eccentric",,2016-03-11T21:30:47,UXrEk9FdVZYY39AWa2xh,compression,"-90.3333,6.6756,17.6719,0.0084,0.1833",yes,eLp8F2LR9fuGQNaYR2IG,uZdm6StFKFpGGmwcOMfi,4517085824679936,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36",145,14.403,true,"electric,eccentric",/static/audio/guitar4.wav,standalone
1,15.593,no-effect,"full,warm,deep",none of the above,2016-03-12T02:07:36,dVFOJJtt120X4Xt4QVau,compression,"-91.7857,35.9378,1.2595,0.0076,0.1329",yes,XZ37n0TAzu49ZqFUIKq0,WfRoyjCUm7BOCAg7LQKL,4517466063503360,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36",18,45.753,true,"full,warm,deep",/static/audio/guitar4.wav,headphones
0,44.039,"delayed,recording,close,hollow,higher-quality,too-loud,more-pleasant,hallway,more,too-much-sharp-high-notes,additional,none of the above","calm,soft",echo,2016-04-09T00:08:51,l3PN2BEeSIQ1Eq2o9tfJ,compression,"-45.2721,4.3897,11.3551,0.0013,0.1255",no,XSkZCsXFJxhpenlQ7hJR,7bBeehWgVpcYfpg5wfZ2,4523803690401792,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36",181,15.57,true,"calm,soft",/static/audio/guitar4.wav,standalone
2,29.109,"warm-homey,vivacious,mysterious-thrilling,louder,energy-boom,none of the above",party,clearer,2016-04-09T03:59:51,kDzsjpDAVkgDBJxwLUqC,compression,"-33.3339,21.7465,14.2668,0.0049,0.0076",yes,undefined,gtQBFIpn17fKxuzupmpQ,4528775920353280,"Mozilla/5.0 (Windows NT 6.2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.110 Safari/537.36",138,17.809,false,party,/static/audio/vocals2.wav,headphones
3,68.826,interesting,"feedback,echoy,reverb,slippy,unclear,slidy",none of the above,2016-03-12T00:26:29,zelzxuHCaeDu4aIjHZO0,compression,"-99.7101,17.2689,14.3162,0.0480,0.1495",yes,R7mUXMZUVwyUvssKexGz,jy6k9lzfKRNwzCZdDYK0,4530264394956800,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36",131,14.404,true,"feedback,echos,revers,slippy,unclear,slimy",/static/audio/guitar4.wav,headphones
3,14.502,"happy,eccentric,none of the above",energetic,electric,2016-03-12T06:51:30,Dc1FXtJONc1KVHXocEuL,compression,"-90.3333,6.6756,17.6719,0.0084,0.1833",yes,cS8rTpInAySjWA3Vg3dE,gMphpuMSKfdfF98hvrSr,4532004662018048,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36",145,15.022,true,energetic,/static/audio/drums4.wav,headphones
1,27.478,"revers,echo,hard,none of the above","subtle,filter",pleasing,2016-04-08T21:22:44,dnuzBdsTDCRcLK7lmJ8o,compression,"-98.7126,24.2384,1.9474,0.0108,0.6534",yes,clOtrlMzmfL9dzvCsKGe,RxT7bPAZ3K1JMB6ozEvL,4536224198950912,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.110 Safari/537.36",201,15.737,true,"subtle,filter",/static/audio/vocals2.wav,headphones
