count,index,parameters,key
5,211,"[u'-39.18041', u'12.83764', u'3.97718', u'0.04291', u'0.90207']",4644337115725824
5,244,"[u'-88.32316', u'35.74531', u'1.69208', u'0.02346', u'0.26315']",4646823633354752
5,178,"[u'-39.14965', u'33.33454', u'18.59721', u'0.04602', u'0.47748']",4649310150983680
5,243,"[u'-91.81774', u'28.78281', u'18.12561', u'0.02582', u'0.89777']",4651155913179136
5,215,"[u'-84.61236', u'10.31385', u'3.50478', u'0.03436', u'0.97025']",4654283186241536
4,205,"[u'-46.59827', u'35.21351', u'17.42084', u'0.00289', u'0.31632']",4659244141903872
4,148,"[u'-43.12685', u'1.90219', u'2.08946', u'0.02873', u'0.15295']",4664229256757248
5,199,"[u'-35.66404', u'30.53051', u'15.42051', u'0.01127', u'0.02909']",4669151557713920
5,195,"[u'-44.13213', u'23.34282', u'19.85133', u'0.00195', u'0.64829']",4674151168081920
4,216,"[u'-34.39991', u'27.66501', u'18.20128', u'0.04267', u'0.20891']",4679086353940480
4,202,"[u'-56.13200', u'31.86499', u'17.97601', u'0.00933', u'0.92798']",4690910667341824
4,170,"[u'-86.15479', u'7.43113', u'9.41826', u'0.04420', u'0.97580']",4695871623004160
4,197,"[u'-69.61721', u'33.55878', u'1.60938', u'0.00535', u'0.24895']",4697455123759104
5,177,"[u'-93.40994', u'36.40751', u'1.79650', u'0.03171', u'0.59645']",4707299725672448
4,139,"[u'-43.20890', u'10.99246', u'17.29011', u'0.04439', u'0.93745']",4725077400616960
5,149,"[u'-51.63052', u'37.61347', u'19.13064', u'0.00506', u'0.43119']",4730836683325440
5,200,"[u'-29.04626', u'9.45780', u'6.35458', u'0.03045', u'0.01016']",4734984816427008
5,150,"[u'-80.91596', u'17.29471', u'2.45526', u'0.04546', u'0.91892']",4737484218957824
4,168,"[u'-47.97621', u'9.24951', u'18.26199', u'0.00350', u'0.16678']",4747406130282496
4,237,"[u'-41.40075', u'28.23803', u'5.39081', u'0.00365', u'0.88084']",4755868826468352
5,198,"[u'-64.96192', u'4.86634', u'12.11583', u'0.04644', u'0.95848']",4764165629542400
4,121,"[u'-36.38841', u'8.81240', u'3.27383', u'0.03304', u'0.00033']",4785074604081152
4,125,"[u'-93.53503', u'37.28733', u'18.52480', u'0.02452', u'0.76297']",4787561121710080
4,45,"[u'-80.77663', u'2.05744', u'19.95349', u'0.04598', u'0.69965']",4790047639339008
4,105,"[u'-38.12573', u'0.01366', u'15.20557', u'0.02349', u'0.95055']",4791893401534464
6,55,"[u'-92.77904', u'2.88206', u'14.84044', u'0.04553', u'0.09909']",4795020674596864
5,120,"[u'-87.31215', u'30.83817', u'2.12158', u'0.04965', u'0.45419']",4799981630259200
4,171,"[u'-66.92744', u'32.20253', u'5.55767', u'0.00114', u'0.07339']",4804129360707584
4,223,"[u'-62.53537', u'35.98604', u'18.49501', u'0.01491', u'0.09087']",4804625295212544
4,54,"[u'-59.34148', u'39.66815', u'2.47226', u'0.00041', u'0.35991']",4804966745112576
4,141,"[u'-90.19692', u'33.40882', u'16.75206', u'0.03704', u'0.92396']",4809889046069248
4,71,"[u'-68.89481', u'1.70639', u'17.91069', u'0.00812', u'0.94528']",4814888656437248
5,68,"[u'-29.75534', u'11.40432', u'3.38336', u'0.00857', u'0.90112']",4819823842295808
5,253,"[u'-59.41366', u'37.57639', u'2.75557', u'0.04612', u'0.43276']",4824175986343936
5,217,"[u'-33.23163', u'39.97911', u'17.14396', u'0.02545', u'0.61035']",4825119268536320
5,130,"[u'-93.78952', u'28.17358', u'5.36432', u'0.04564', u'0.88240']",4831648155697152
4,88,"[u'-90.54456', u'4.39447', u'3.51968', u'0.03116', u'0.97679']",4836609111359488
4,92,"[u'-80.59405', u'15.06444', u'18.53156', u'0.04756', u'0.93878']",4838192612114432
4,82,"[u'-76.27867', u'38.16411', u'19.65787', u'0.03135', u'0.08868']",4848037214027776
4,224,"[u'-58.20087', u'32.46410', u'1.99165', u'0.04043', u'0.87243']",4855880898052096
4,173,"[u'-47.06115', u'12.92745', u'2.72827', u'0.00196', u'0.82688']",4858242056323072
5,111,"[u'-92.85417', u'39.51899', u'2.30306', u'0.02204', u'0.30704']",4863277368606720
5,74,"[u'-99.16837', u'13.66576', u'4.32955', u'0.00607', u'0.90963']",4865814888972288
