likert,effectTime,didnotagree,language,rawwords,agreed,when,userid,effect,param,quiet,surveyID,sessionid,key,useragent,ind,cleanTime,irb,words,audioFile,listen
3,60.544,"jumbled,echo,muffled,ringing,full,mixed,harsh,grander,tinny,clashing,grating,blunt,echoing,louder,none of the above",English,live-concert,electric,2014-03-19T23:34:40,z59AasGhqXnNl7Ih5cak,reverb,"0.0319,0.8400,-0.0100,16021.0000,2.0180",yes,502aLDscS02eVrH2GVOH,USOygOozf8nr9YgMIKE0,4503730623873024,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.154 Safari/537.36",254,14.971,true,live-concert,/static/audio/guitar.mp3,headphones
2,25.851,"big-church,echoes,annoying,open,destroys,hollow,sad,powerfully,emotional,organ,nice-beat,rebounding,echo,dramatic,none of the above",English,fantasy,warm,2014-05-13T10:52:55,j3ybylQOq9k7lxJCfU67,reverb,"0.0559,0.9400,-0.0092,3078.0000,19.6290",yes,Q7A7ACiFa497QjOGnWq4,4inQyjAHR4QTMqfTYey6,4503857862279168,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.131 Safari/537.36",83,27.497,true,fantasy,/static/audio/guitar.mp3,standalone
3,10.866,"hall,full,melody,pretty,big,deafening,soft,holy,off-key,electric,none of the above",English,dizzy,"unpleasant,echo,too-much,echoing,distortion",2014-05-13T08:18:45,cNxdDXnU5cfAPwkvYBhJ,reverb,"0.0319,0.9600,-0.0083,4223.0000,18.4060",yes,KtXteVoWSSn6qPKQCr99,VS8TntQjbgfAtb9CQ8kq,4503908059709440,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.22 (KHTML, like Gecko) Chrome/25.0.1364.29 Safari/537.22",253,11.455,true,dizzy,/static/audio/guitar.mp3,standalone
4,119.876,"clashing,muted,clash,awesome,heart-touched,clearer,fuller,peaked,different,dramatic,resounding,muffled,bi-church,covered,none of the above",English,"echoing,chrystal,angels,heaven,harp-strums",spacious,2014-03-23T02:03:47,iC998MsJdhk3skTkFmot,reverb,"0.0100,0.9900,-0.0043,4126.0000,0.3529",yes,yfOM116jrOvnpi9aAhH4,5G2C2QnerzJPV82JLTxr,4504116097187840,"Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.154 Safari/537.36",102,23.785,true,"echoing,chrystal,angels,heaven,harp-strums",/static/audio/guitar.mp3,standalone
1,21.628,,English,"empty,spacious,softer",,2014-03-17T21:53:20,BdTkLBtcj0kOSggnhAiL,reverb,"0.0188,0.7000,0.0035,22050.0000,30.3130",yes,KtARZaWiituhmmNdQyug,lYME3Vamw5psnoMNLf7P,4504306149490688,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.154 Safari/537.36",50,23.996,true,"empty,spacious,softer",/static/audio/drums.mp3,headphones
4,90.744,"electric,echoes,soft,distant,nice-beat,sepulchral,big-church,bad,simple,regnant,cavernous,quiet,echo,warm,none of the above",English,"richer,exagerated,dramatic",spacious,2014-03-18T15:59:16,YAR7y0uVQYGCxiKyUDDd,reverb,"0.0559,0.9400,-0.0092,3078.0000,19.6290",yes,ZWmcwCdkzpZNtuD2AhyW,2spB1UJ6KTNpdzPGoAP0,4504508012953600,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.154 Safari/537.36",83,27.813,true,"richer,exaggerated,dramatic",/static/audio/piano.mp3,headphones
3,15.572,"somber,and,sound,haunted,metal,engaging,slow,eric,martial,at-ease,happy,opened,warm,none of the above",English,"spacious,hall,echo,vibrate","spacey,big",2014-03-23T19:07:37,9b276UCud3KSyI9FnSdH,reverb,"0.0329,0.8000,0.0044,1191.0000,43.8740",yes,HLJ6QK1Nk3eZ8VDQvq0h,mfqjfz4uTiFxZxPH62YS,4505043810123776,"Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.154 Safari/537.36",103,16.745,true,"spacious,hall,echo,vibrate",/static/audio/piano.mp3,headphones
3,41.339,"horn-like,oceanic,small,ghostly,spacey,beautiful,bowling,quieter,rumbling,outer-space,empty,pleasing,roaring,echo,none of the above",English,treble,extended,2014-03-23T04:02:55,t8hXnuRDBGJaa3w2IK4f,reverb,"0.0879,0.9000,-0.0096,397.0000,7.2652",yes,jfRXmNPC1f9ANS8pLo9U,aEyBLXTMjRNtuUBgjHV5,4505971523059712,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.154 Safari/537.36",165,17.739,true,treble,/static/audio/drums.mp3,headphones
3,46.595,"warmer,powerless,warm,bang,disconnected,concise,dramatic,boom,drums,elector,similar,band-camp,short,none of the above",English,"mixed,multiple-effect","increased-base,sharp",2014-03-21T05:41:30,FUQp1hieH2MAfWQGvHr9,reverb,"0.0109,0.0100,-0.0061,22050.0000,434.3400",yes,UiYOxHNQ12V2IYcihXzc,YxWew1Fxn4ODMcbtWJ5E,4506307604250624,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.154 Safari/537.36",46,16.128,true,"mixed,multiple-effect",/static/audio/drums.mp3,headphones
2,34.878,"dark,spacious,electric,chilling,church,deep,tinny,shrill,toy-like,flat,none of the above",English,humongous,"big-room,hollow,cavernous,large,big",2014-03-19T03:17:36,jmx3vBN9bKymQSWJ5MxC,reverb,"0.0568,0.9100,-0.0013,6729.0000,1.0899",yes,dqAK0mWfenD1aGOgemfR,QdkLGOxAytqo2TMseYXY,4506363438825472,"Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/29.0.1547.76 Safari/537.36",70,15.564,true,humongous,/static/audio/drums.mp3,headphones
2,27.432,"rounds,pleasant,echo,warm,full,indie,spacious,bass,revers,none of the above",English,"louder,bolder","louder,loud",2014-03-17T23:16:39,noIAeehy11NoAPEYbLhW,reverb,"0.0879,0.9000,-0.0112,95.0000,147.0100",yes,GrH1U7lqsHaeOLssRxNp,NFmlNRVssoCLIezt0DBW,4507454360518656,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.154 Safari/537.36",122,23.344,true,"louder,bolder",/static/audio/piano.mp3,standalone
1,7.945,"live,rock,too-much,echo,full,marching-band,gigantic,winter,echoing,wonderful,hard,deafening,uplifting,bad-sounding,none of the above",English,"large,church-bells",melody,2014-05-13T23:53:33,eJMzDqWo9WiQe7V9Epvp,reverb,"0.0319,0.9600,-0.0083,4223.0000,18.4060",yes,7dzUdGw6fhxY5DG3QdpF,UJ0qgTeABiCClSftocBR,4507766819389440,"Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36",253,45.362,true,"large,church-bells",/static/audio/guitar.mp3,headphones
1,28.918,"inner-feel,discordant,warm,party,rough,omnibus,spacious,symphony,singing,harmonious,beautiful,small,organ,friendly,none of the above",English,super,under-water,2014-05-14T07:02:07,dpjPQK05gR0bS1gw7Guk,reverb,"0.0769,0.9200,-0.0103,790.0000,2.4607",yes,yabVO9NqImk1RWS3XEkg,Upgng03sbCE58Td7pfDu,4508015122186240,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.131 Safari/537.36",34,18.448,true,super,/static/audio/piano.mp3,headphones
4,60.854,"tunnel,church,long,metallic,cheap-seats,cathedral,none of the above",English,"spacious,spacey,muffeled,distant,sad,disconnected,dark","deep-well,cave,echo,far,distant",2014-03-18T02:24:12,ae2XWd28IvUU1GtUCxri,reverb,"0.0769,0.7900,-0.0037,326.0000,9.5462",yes,LwKBk1YdTvx16X79yNkm,hFdl8BmL4kWxnBb7vDOK,4508017001234432,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.154 Safari/537.36",38,16.27,true,"spacious,spacey,muffled,distant,sad,disconnected,dark",/static/audio/piano.mp3,headphones
